,ticker,organ_name
220,CEO,Công ty Cổ phần Tập đoàn C.E.O
221,CET,Công ty Cổ phần HTC Holding
222,CFM,Công ty Cổ phần Đầu tư CFM
223,CFV,Công ty Cổ phần Cà phê Thắng Lợi
224,CGV,Công ty Cổ phần Vinaceglass
225,CH5,Công ty Cổ phần Xây dựng số 5 Hà Nội
226,CHC,Công ty Cổ phần Cẩm Hà
227,CHP,Công ty Cổ phần Thủy điện Miền Trung
228,CHS,Công ty Cổ phần Chiếu sáng Công cộng Thành phố Hồ Chí Minh
229,CI5,Công ty Cổ phần Đầu tư Xây dựng số 5
230,CIA,Công ty Cổ Phần Dịch Vụ Sân Bay Quốc Tế Cam Ranh
231,CID,Công ty Cổ phần Xây dựng và Phát triển Cơ sở Hạ tầng
232,CIG,Công ty Cổ phần COMA 18
233,CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh
234,CIP,Công ty Cổ phần Xây lắp và Sản xuất Công nghiệp
235,CJC,Công ty Cổ phần Cơ điện Miền Trung
236,CK8,Công ty Cổ phần Cơ khí 120
237,CKA,Công ty Cổ phần Cơ khí An Giang
238,CKD,Công ty Cổ phần Cơ khí Đông Anh Licogi
239,CKG,Công ty Cổ phần Tập đoàn Tư vấn Đầu tư Xây dựng Kiên Giang
240,CKV,Công ty Cổ phần CokyVina
241,CLC,Công ty Cổ phần Cát Lợi
242,CLG,Công ty Cổ phần Đầu tư và Phát triển Nhà đất Cotec
243,CLH,Công ty Cổ phần Xi măng La Hiên VVMI
244,CLL,Công ty Cổ phần Cảng Cát Lái
245,CLM,Công ty Cổ phần Xuất nhập khẩu Than - Vinacomin
246,CLW,Công ty Cổ phần Cấp nước Chợ Lớn
247,CLX,Công ty Cổ phần Xuất nhập khẩu và Đầu tư Chợ Lớn (CHOLIMEX)
248,CMC,Công ty Cổ phần Đầu tư CMC
249,CMD,Công ty Cổ phần Vật liệu xây dựng và Trang trí nội thất TP Hồ Chí Minh
250,CMF,Công ty Cổ phần Thực phẩm Cholimex
251,CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC
252,CMI,Công ty Cổ phần CMISTONE Việt Nam
253,CMK,Công ty Cổ phần Cơ khí Mạo Khê - Vinacomin
254,CMM,Công ty Cổ phần Camimex
255,CMN,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket
256,CMP,Công ty Cổ phần Cảng Chân Mây
257,CMS,Công ty Cổ phần Tập đoàn CMH Việt Nam
258,CMT,Công ty Cổ phần Công nghệ mạng và Truyền thông
259,CMV,Công ty Cổ phần Thương nghiệp Cà Mau
260,CMW,Công ty Cổ phần Cấp nước Cà Mau
261,CMX,Công ty Cổ phần CAMIMEX Group
262,CNA,Công ty Cổ phần Tổng công ty Chè Nghệ An
263,CNC,Công ty Cổ phần Công nghệ cao Traphaco
264,CNG,Công ty Cổ phần CNG Việt Nam
265,CNN,"Công ty Cổ phần Tư vấn Công nghệ, Thiết bị và Kiểm định Xây dựng - CONINCO"
266,CNT,Công ty Cổ phần Tập đoàn CNT
267,COM,Công ty Cổ phần Vật tư Xăng dầu
268,CPA,Công ty Cổ phần Cà phê Phước An
269,CPC,Công ty Cổ phần Thuốc sát trùng Cần Thơ
270,CPH,Công ty Cổ phần Phục vụ Mai táng Hải Phòng
271,CPI,Công ty Cổ phần Đầu tư Cảng Cái Lân
272,CQN,Công ty Cổ phần Cảng Quảng Ninh
273,CQT,Công ty Cổ phần Xi măng Quán Triều VVMI
274,CRC,Công ty Cổ phần Create Capital Việt Nam
275,CRE,Công ty Cổ phần Bất động sản Thế Kỷ
276,CRV,Công ty cổ phần Tập đoàn Bất động sản CRV
277,CSC,Công ty Cổ phần Tập đoàn COTANA
278,CSI,Công ty Cổ phần Chứng khoán Kiến thiết Việt Nam
279,CSM,Công ty Cổ phần Công nghiệp Cao su Miền Nam
280,CST,Công ty Cổ phần Than Cao Sơn - TKV
281,CSV,Công ty Cổ phần Hóa chất Cơ bản miền Nam
282,CT3,Công ty Cổ phần Đầu tư và Xây dựng công trình 3
283,CT6,Công ty Cổ phần Công trình 6
284,CTA,Công ty Cổ phần Vinavico
285,CTB,Công ty Cổ phần Chế tạo Bơm Hải Dương
286,CTC,Công ty Cổ phần Tập đoàn Hoàng Kim Tây Nguyên
287,CTD,Công ty Cổ phần Xây dựng Coteccons
288,CTF,Công ty Cổ phần City Auto
289,CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam
290,CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO
291,CTN,Công ty Cổ phần Xây dựng Công trình ngầm
292,CTP,Công ty Cổ phần Minh Khang Capital Trading Public
293,CTR,Tổng Công ty Cổ phần Công trình Viettel
294,CTS,Công ty Cổ phần Chứng khoán Ngân hàng Công thương Việt Nam
295,CTT,Công ty Cổ phần Chế tạo máy Vinacomin
296,CTW,Công ty Cổ phần Cấp thoát nước Cần Thơ
297,CTX,Tổng Công ty Cổ phần Đầu tư Xây dựng và Thương mại Việt Nam
298,CVN,Công ty Cổ phần Vinam
299,CVT,Công ty Cổ phần CMC
300,CX8,Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8
301,CYC,Công ty Cổ phần Gạch men Chang Yih
302,D11,Công ty Cổ phần Địa ốc 11
303,D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2
304,DAC,Công ty Cổ phần 382 Đông Anh
305,DAD,Công ty Cổ phần Đầu tư và Phát triển Giáo dục Đà Nẵng
306,DAE,Công ty Cổ phần Sách Giáo dục tại Thành phố Đà Nẵng
307,DAG,Công ty Cổ phần Tập đoàn Nhựa Đông Á
308,DAH,Công ty Cổ phần Tập đoàn Khách sạn Đông Á
309,DAN,Công ty Cổ phần Dược Danapha
310,DAS,Công ty Cổ phần Máy - Thiết bị Dầu khí Đà Nẵng
311,DAT,Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản
312,DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam
313,DBD,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định
314,DBM,Công ty Cổ phần Dược - Vật tư Y tế Đắk Lắk
315,DBT,Công ty Cổ phần Dược phẩm Bến Tre
316,DC1,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1
317,DC2,Công ty Cổ phần Đầu tư Phát triển - Xây dựng (DIC) số 2
318,DC4,Công ty Cổ phần Xây dựng DIC Holdings
319,DCF,Công ty Cổ phần Xây dựng và Thiết kế số 1
320,DCG,Công ty Cổ phần Tổng Công ty May Đáp Cầu
321,DCH,Công ty Cổ phần Địa chính Hà Nội
322,DCL,Công ty Cổ phần Dược phẩm Cửu Long
323,DCM,Công ty Cổ phần Phân bón Dầu Khí Cà Mau
324,DCR,Công ty Cổ phần Gạch men COSEVCO
325,DCS,Công ty Cổ phần Tập đoàn Đại Châu
326,DCT,Công ty Cổ phần Tấm lợp Vật liệu Xây dựng Đồng Nai
327,DDB,Công ty Cổ Phần Thương Mại Và Xây Dựng Đông Dương
328,DDG,Công ty Cổ phần Đầu tư Công nghiệp Xuất nhập khẩu Đông Dương
329,DDH,Công ty Cổ phần Đảm bảo giao thông đường thủy Hải Phòng
330,DDM,Công ty Cổ phần Hàng hải Đông Đô
331,DDN,Công ty Cổ phần Dược - Thiết bị y tế Đà Nẵng
332,DDV,Công ty Cổ phần DAP - Vinachem
333,DFC,Công ty Cổ phần Xích líp Đông Anh
334,DFF,Công ty Cổ phần Tập đoàn Đua Fat
335,DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang
336,DGT,Công ty Cổ phần Công trình Giao thông Đồng Nai
337,DGW,Công ty Cổ phần Thế Giới Số
338,DHA,Công ty Cổ phần Hóa An
339,DHB,Công ty Cổ phần Phân đạm và Hóa chất Hà Bắc
340,DHC,Công ty Cổ phần Đông Hải Bến Tre
341,DHD,Công ty Cổ phần Dược Vật Tư Y Tế Hải Dương
342,DHG,Công ty Cổ phần Dược Hậu Giang
343,DHM,Công ty Cổ phần Thương mại & Khai thác Khoáng sản Dương Hiếu
344,DHN,Công ty Cổ phần Dược phẩm Hà Nội
345,DHP,Công ty Cổ phần Điện cơ Hải Phòng
346,DHQ,Công ty Cổ phần Duyên hải Quảng Ninh
347,DHT,Công ty Cổ phần Dược phẩm Hà Tây
348,DIC,Công ty Cổ phần Đầu tư và Thương mại DIC
349,DID,Công ty Cổ phần DIC - Đồng Tiến
350,DIG,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng
351,DIH,Công ty Cổ phần Đầu tư Phát triển Xây dựng - Hội An
352,DKC,Công ty Cổ phần Chợ Lạng Sơn
353,DKG,Công ty Cổ Phần Vôi Công Nghiệp DLH
354,DKW,Công ty Cổ phần Cấp nước sinh hoạt Châu Thành
355,DL1,Công ty Cổ phần Tập đoàn Alpha Seven
356,DLD,Công ty Cổ phần Du lịch Đắk Lắk
357,DLG,Công ty Cổ phần Tập đoàn Đức Long Gia Lai
358,DLM,Công ty Cổ phần Chiếu sáng công cộng Đà Nẵng
359,DLR,Công ty Cổ phần Địa ốc Đà Lạt
360,DLT,Công ty Cổ phần Du lịch và Thương mại - Vinacomin
361,DM7,Công ty Cổ phần Dệt may 7
362,DMC,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO
363,DMH,Công ty Cổ phần Dược Minh Hải
364,DMN,Công ty Cổ phần Domenal
365,DMS,Công ty Cổ phần Hóa phẩm dầu khí DMC - Miền Nam
366,DNA,Công ty Cổ phần Điện nước An Giang
367,DNC,Công ty Cổ phần Điện nước Lắp máy Hải Phòng
368,DND,Công ty Cổ phần Đầu tư Xây dựng và Vật liệu Đồng Nai
369,DNE,Công ty Cổ phần Môi trường Đô thị Đà Nẵng
370,DNH,Công ty Cổ phần Thủy điện Đa Nhim - Hàm Thuận - Đa Mi
371,DNL,Công ty Cổ phần Logistics Cảng Đà Nẵng
372,DNM,Tổng Công ty Cổ phần Y tế Danameco
373,DNN,Công ty Cổ phần Cấp nước Đà Nẵng
374,DNP,Công ty Cổ phần DNP Holding
375,DNT,Công ty Cổ phần Du lịch Đồng Nai
376,DNW,Công ty Cổ phần Cấp nước Đồng Nai
377,DO3,Công ty Cổ phần Xây dựng và Kinh doanh Địa ốc III
378,DOC,Công ty Cổ phần Vật tư nông nghiệp Đồng Nai
379,DOP,Công ty Cổ phần Vận tải Xăng dầu Đồng Tháp
380,DP1,Công ty Cổ phần Dược phẩm Trung ương CPC1
381,DP2,Công ty Cổ phần Dược phẩm Trung ương 2
382,DP3,Công ty Cổ Phần Dược Phẩm Trung Ương 3
383,DPC,Công ty Cổ phần Nhựa Đà Nẵng
384,DPG,Công ty Cổ phần Tập đoàn Đạt Phương
385,DPH,Công ty Cổ phần Dược phẩm Hải Phòng
386,DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần
387,DPP,Công ty Cổ phần Dược Đồng Nai
388,DPR,Công ty Cổ phần Cao su Đồng Phú
389,DPS,Công ty Cổ phần Đầu tư Phát triển Sóc Sơn
390,DQC,Công ty Cổ phần Tập đoàn Điện Quang
391,DRC,Công ty Cổ phần Cao su Đà Nẵng
392,DRG,Công ty Cổ phần Cao su Đắk Lắk
393,DRH,Công ty Cổ phần DRH Holdings
394,DRI,Công ty Cổ phần Đầu tư Cao su Đắk Lắk
395,DRL,Công ty Cổ phần Thủy điện - Điện lực 3
396,DS3,Công ty Cổ phần DS3
397,DSC,Công ty Cổ phần Chứng khoán DSC
398,DSD,Công ty cổ phần DHC Suối Đôi
399,DSE,Công ty Cổ phần Chứng khoán DNSE
400,DSG,Công ty Cổ phần Kính Đáp Cầu
401,DSN,Công ty Cổ phần Công viên nước Đầm Sen
402,DSP,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ
403,DST,Công ty Cổ phần Đầu tư Sao Thăng Long
404,DSV,Công ty Cổ phần Đường sắt Vĩnh Phú
405,DTA,Công ty Cổ phần Đệ Tam
406,DTB,Công ty Cổ phần Công trình Đô thị Bảo Lộc
407,DTC,Công ty Cổ phần Viglacera Đông Triều
408,DTD,Công ty Cổ phần Đầu tư Phát triển Thành Đạt
409,DTE,Công ty Cổ phần Đầu tư Năng lượng Đại Trường Thành Holdings
410,DTG,Công ty Cổ phần Dược phẩm Tipharco
411,DTH,Công ty Cổ phần Dược - Vật tư Y tế Thanh Hóa
412,DTI,Công ty Cổ phần Đầu tư Đức Trung
413,DTK,Tổng Công ty Điện lực TKV - Công ty Cổ phần
414,DTL,Công ty Cổ phần Đại Thiên Lộc
415,DTP,Công ty Cổ phần Dược phẩm CPC1 Hà Nội
416,DTT,Công ty Cổ phần Kỹ nghệ Đô Thành
417,DTV,Công ty Cổ phần Phát triển điện Trà Vinh
418,DUS,Công ty Cổ phần Dịch vụ Đô thị Đà Lạt
419,DVC,Công ty Cổ phần Thương mại dịch vụ Tổng Hợp Cảng Hải Phòng
420,DVG,Công ty Cổ phần Đại Việt Group DVG
421,DVM,Công ty Cổ phần Dược liệu Việt Nam
422,DVN,Tổng Công ty Dược Việt Nam - CTCP
423,DVP,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ
424,DVW,Công ty Cổ phần Dịch vụ và Xây dựng cấp nước Đồng Nai
425,DWC,Công ty Cổ phần Cấp nước Đắk Lắk
426,DWS,Công ty Cổ phần Cấp nước và Môi trường Đô thị Đồng Tháp
427,DXG,Công ty Cổ phần Tập đoàn Đất Xanh
428,DXL,Công ty Cổ phần Du lịch và Xuất nhập khẩu Lạng Sơn
429,DXP,Công ty Cổ phần Cảng Đoạn Xá
430,DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh
431,DXV,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng
